bookName,ISBN_API,year
"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 2",9780393930146,February 2007
Writing New York: A Literary Anthology,9781598530216,January 2008
The Best American Essays 2009,9781616836863,October 2009
The Hudson River Valley Reader,9781616823764,March 2009
The Best American Poetry 2009,9780743299770,September 2009
Sudden Fiction Latino: Short-Short Stories from the United States and Latin America,9780393336450,March 2010
I Am the Darker Brother: An Anthology of Modern Poems by African Americans,9780689808692,January 1997
Classic American Autobiographies,9780451529152,November 2003
Mental Floss: Scatterbrained,9780060882501,July 2006
The Portable Sixties Reader,9780142001943,December 2002
Modern American Memoirs,9780060927639,October 1996
Best American Spiritual Writing 2007,9780641974120,October 2007
The Norton Anthology of American Literature: Volume D: 1914-1945,9780393927429,April 2007
Making Literature Matter: An Anthology for Readers and Writers,9780312474911,August 2008
"Luis Valdez - Early Works: Actos, Bernabe and Pensamiento Serpentino",9781558850033,January 1990
In Our Own Words: Student Writers at Work,9780521540285,April 2005
Touch,9780822220558,November 2005
"The American Tradition in Literature, Volume 1(book alone)",9780077239046,October 2008
The Four Seasons: Poems,9780307268341,June 2008
The American Stage: Writing on Theater from Washington Irving to Tony Kushner,9781598530698,April 2010
Bum Rush the Page: A Def Poetry Jam,9780609808405,October 2001
The Outlaw Bible of American Literature,9781560255505,December 2004
Mother California: A Story of Redemption Behind Bars,9781934633946,September 2010
The Best American Short Stories 2003,9780618197330,October 2003
Spider Woman's Granddaughters: Traditional Tales and Contemporary Writing by Native American Women,9780449905081,May 1990
Transforming a Rape Culture,9781571312693,August 2004
American Food Writing: An Anthology with Classic Recipes,9781598530414,January 2009
Baseball: A Literary Anthology,9781931082099,February 2002
Loving in the War Years: Lo que nunca paso por sus labios,9780896086265,September 2000
Don't Squat With Your Spurs On: A Cowboy's Guide to Life,9781423606994,October 2009
Listening For God Reader Volume 3,9780806639628,February 2000
Fierce Pajamas: An Anthology of Humor Writing from the New Yorker,9780375761270,October 2002
The Top 500 Poems,9780231080286,January 1992
True Crime: An American Anthology,9781598530315,September 2008
"I Am Not My Breast Cancer: Women Talk Openly about Love and Sex, Hair Loss and Weight Gain, Mothers and Daughters, and Being a Woman with Breast Cancer",9780061174070,September 2008
African American Literature (Penguin Academics Series),9780321113412,January 2004
"Anthology of American Literature, Volume I",9780205779390,July 2010
"The Heath Anthology of American Literature: Modern Period (1910?1945), Volume D",9780547201948,February 2009
Poems of New York,9780375415043,August 2002
American Dreams,9780679767992,June 1996
"Black Theatre USA, V2: Plays by African Americans 1935-Today, Vol. 2",9780684823072,February 1996
The Signet Classic Book of American Short Stories,9780451529633,November 2004
The American Transcendentalists: Essential Writings,9780812975093,January 2006
Finding Freedom: Writings from Death Row,9781881847083,September 1997
The Best American Short Stories 2004,9780618197354,October 2004
New York Stories: The Best of the City Section of the New York Times,9780814775721,May 2005
Black Voices: An Anthology of African-American Literature,9780451527820,April 2001
Bordering Fires: The Vintage Book of Contemporary Mexican and Chicano/a Literature,9781400077182,October 2006
The Best American Short Plays 2007-2008,9781557837493,August 2009
Postmodern American Fiction: A Norton Anthology,9780393316988,September 1997
Bronx Accent: A Literary and Pictorial History of the Borough,9780813538624,March 2006
Native American Songs and Poems: An Anthology,9780486294506,September 1996
The Best American Sports Writing 2008,9780618751181,October 2008
The Lost Algonquin Round Table,9781440151514,July 2009
Thom Pain (based on nothing),9780822220763,November 2005
