bookName,ISBN_API,year
"Iowa, the Definitive Collection: Classic and Contemporary Readings by Iowans, for Iowans",9781888160383,June 2009
"Friction, Volume 7: Best Gay Erotic Fiction",9781555838270,February 2004
A Kentucky Christmas,9780813122793,October 2003
The Little Big Book of California,9781932183702,April 2005
New Playwrights: The Best Plays of 2005,9781575254463,May 2006
Tenderheaded: A Comb-Bending Collection of Hair Stories,9780671047566,January 2002
The Classic Hundred Poems: All-Time Favorites,9781598875782,December 2007
The Best of Bamboo Ridge,9780910043076,July 1986
Inlandia,9781597140379,October 2006
Literary Savannah,9781892514011,July 2006
"New Oxford Book of American Verse, Vol. 1",9780195020588,October 1976
Caroling Dusk,9780806513492,January 1993
Literary Fort Worth,9780875652535,May 2002
A River Through Illinois,9780809327638,April 2008
"Don't Squat With Yer Spurs On! II, Vol. 2",9780879058326,September 1997
The Maine Reader: The Down East Experience from 1614 to the Present,9781567920789,January 1997
Florida Frenzy,9780813007267,June 1982
Starting Today: 100 Poems for Obama's First 100 Days,9781587298714,April 2010
Chattooga: Descending into the Myth of Deliverance River,9780820327754,September 2005
All Things Censored [With CD],9781583220221,July 2003
Listen Here: Women Writing in Appalachia,9780813190662,August 2004
The Flu Season and Other Plays,9781559362917,December 2006
Solomon Northup's Twelve Years a Slave: And Plantation Life in the Antebellum South,9781887366755,January 2007
Bamboo among the Oaks: Contemporary Writing by Hmong Americans,9780873514378,October 2002
Poets of the Civil War,9781931082761,April 2005
The Book of American Negro Poetry,9780156135399,October 1969
"Slave Narratives: James Albert Ukawsaw Gronniosaw, Olaudah Equiano, Nat Turner, Frederick Douglass, William Wells Brown, Henry Bibb, Sojourner Truth, William and Ellen Craft, Harriet A. Jacobs, Jacob D. Green (Library of America)",9781883011765,January 2000
Denali: A Literary Anthology,9780898867107,October 2000
The Best American Poetry 2005,9780743257589,September 2005
"Who's to Say What's Obscene?: Politics, Culture, and Comedy in America Today",9780872865013,July 2009
Impossible Princess,9780872865280,November 2009
This Bridge We Call Home: Radical Visions for Transformation,9780415936828,September 2002
Our Own Stories: Readings for Cross-Cultural Communication,9780201846706,August 1995
Sky Begins at Your Feet,9781888160437,September 2009
Hot Biscuits: Eighteen Stories by Women and Men of the Ranching West,9780826328892,July 2002
Santa Fe Nativa: A Collection of Nuevomexicano Writing,9780826348180,November 2009
Literary Austin,9780875653426,April 2007
The Best American Short Plays 2004-2005,9781557837127,August 2008
En Otra Voz: Antolog&#237;a de Literatura Hispana de los Estados Unidos,9781558853461,August 2002
Common Wealth,9780271027210,October 2005
American Satire,9780452011748,April 1997
"Appalachia inside Out, Vol. 2",9780870498763,November 1995
New Stories from the Southwest,9780804011075,December 2007
Writing New England: An Anthology from the Puritans to the Present,9780674006034,October 2001
Crazy Woman Creek: Women Rewrite the American West,9780618249336,May 2004
Circle of Women: An Anthology of Contemporary Western Women Writers,9780806133676,November 2001
The Portable Western Reader,9780140230260,July 1997
African-American Literature: A Brief Introduction and Anthology,9780673990174,January 1997
El Coro,9781558491113,December 1997
"Off Off Broadway Festival Plays, 34th Series",9780573697555,February 2010
American Wits: An Anthology of Light Verse,9781931082495,October 2003
Out on the Porch: An Evocation in Words and Pictures,9780945575931,January 1992
30 Satires,9781565849860,April 2005
Literary Mama: Reading for the Maternally Inclined,9781580051583,January 2006
"In So Many More Words: Arguments and Adventures, Second Edition",9780268041342,September 2010
Georgia Cowboy Poets,9780881461831,March 2010
Decolonial Voices: Chicana and Chicano Cultural Studies in the 21st Century,9780253214928,March 2002
More Mirth of a Nation: The Best Contemporary Humor,9780060953225,November 2002
New Playwrights: The Best Plays of 2003,9781575253862,November 2005
American Reader,9781585360956,September 2006
Every Shut Eye Ain't Asleep; An Anthology of Poetry by African Americans since 1945,9780316347105,February 1994
Moment's Notice: Jazz in Poetry and Prose,9781566890014,July 1992
Literary Nashville,9781892514110,November 1999
Screaming Monkeys: Critiques of Asian American Images,9781566891417,July 2003
Imagination And Spirit,9780944350614,February 2006
"Writings: The Autobiography of an Ex-Colored Man, Along This Way, Essays and Editorials, Selected Poems",9781931082525,January 2004
Quixotic Fictions of the USA 1792-1815,9780199273157,January 2006
"Roots of African American Drama: An Anthology of Early Plays, 1858-1938",9780814321423,December 1992
The Floating Borderlands: Twenty-Five Years of U.S. Hispanic Literature,9780295977461,December 1998
Classic Plays from the Negro Ensemble Company,9780822955603,October 1995
Mississippi Writers: An Anthology,9780878054794,June 1991
Bombshells: War Stories and Poems by Women on the Homefront,9780978848934,January 2007
At Home on the Earth: Becoming Native to Our Place,9780520216846,August 1999
Wines in the Wilderness: Plays by African American Women from the Harlem Renaissance to the Present,9780275935672,August 1990
Stand Up Poetry: An Expanded Anthology,9780877457954,January 2002
First Thought Best Thought,9781591791881,August 2004
For She Is the Tree of Life: Grandmothers Through the Eyes of Women Writers,9781573240376,May 1996
White Lines: Writers on Cocaine,9781560253785,December 2002
